Price,Location,Area,Rooms,Bathrooms,Pieces,Type of property,Floor,Condition,Age,Air conditioning,Garden,Furnished,Pool,Heating,Equipped kitchen,Double glazing,Security system,Terrace,Elevator,Satellite dish,Oven,Mountains views,Internet,Flooring,Garage,Concierge,Reinforced Door,Microwave,Fridge,TV,Washing machine,Sea views
Price on request,Les Jardins de Carthage inLe Kram,106m²,2 Rooms,1 Bathroom,,Apartment,,,,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"110,000 TND",Sousse Ville,90m²,3 Rooms,,,Apartment,,,,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"355,000 TND",Nabeul inNabeul,138m²,2 Rooms,2 Bathrooms,3 Pieces,Apartment,4th,New,,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
"315,000 TND",Nabeul inNabeul,125m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,2nd,New,,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"743,000 TND",Les Jardins de Carthage inLe Kram,165m²,3 Rooms,3 Bathrooms,4 Pieces,Apartment,,New,,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no
"298,000 TND",Nouvelle Medina inNouvelle Medina,129m²,3 Rooms,3 Bathrooms,4 Pieces,Apartment,2nd,New,,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
Price on request,Mahdia Ville inMahdia Ville,75m²,1 Room,2 Bathrooms,2 Pieces,Apartment,4th,New,Less than 1 year,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
Price on request,La Soukra inLa Soukra,70m²,1 Room,1 Bathroom,2 Pieces,Apartment,,New,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no
Price on request,La Soukra inLa Soukra,81m²,1 Room,1 Bathroom,2 Pieces,Apartment,,New,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no
"276,000 TND",La Soukra inLa Soukra,69m²,1 Room,1 Bathroom,2 Pieces,Apartment,,New,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no
Price on request,Aouina inLa Marsa,112m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,,Due for reform,,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no
"950,000 TND",Yasmine Hammamet inHammamet,250m²,3 Rooms,4 Bathrooms,4 Pieces,Villa,,Good condition,,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,no,yes,no
"275,000 TND",Cité El Wafa inNabeul,87m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,,Good condition,,yes,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
"331,000 TND",Tantana,72m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,1st,New,,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes
Price on request,Aouina inLa Marsa,120m²,3 Rooms,1 Bathroom,4 Pieces,Apartment,,Good condition,,yes,no,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no
Price on request,Ain Zaghouan Nord inLa Marsa,110m²,2 Rooms,2 Bathrooms,3 Pieces,Apartment,1st,New,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no
Price on request,Ain Zaghouan Nord inLa Marsa,206m²,4 Rooms,3 Bathrooms,5 Pieces,Apartment,2nd,Good condition,10-20 years old,yes,no,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no
Price on request,Les Jardins de Carthage inLe Kram,97m²,2 Rooms,1 Bathroom,,Apartment,,,,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"344,000 TND",Tantana,71m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,1st,New,,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes
"1,280,000 TND",La Marsa inLa Marsa,436m²,4 Rooms,3 Bathrooms,5 Pieces,Villa,,Good condition,,yes,yes,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
"300,000 TND",Salambo inCarthage,152m²,4 Rooms,2 Bathrooms,5 Pieces,Apartment,,Good condition,,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"338,000 TND",Aouina inLa Marsa,156m²,4 Rooms,1 Bathroom,5 Pieces,Apartment,,Good condition,,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no
"528,000 TND",La Soukra inLa Soukra,155m²,3 Rooms,1 Bathroom,3 Pieces,Apartment,,New,,no,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no
"1,200,000 TND",El Omrane inEl Omrane,700m²,6 Rooms,2 Bathrooms,8 Pieces,Villa,,Good condition,,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
"400,000 TND",Sousse Corniche inSousse Ville,110m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,,New,,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
"165,000 TND",Sousse Corniche inSousse Ville,91m²,,,,Apartment,,,,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes
"1,800,000 TND",La Marsa inLa Marsa,539m²,8 Rooms,2 Bathrooms,9 Pieces,House,,Good condition,,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
"680,000 TND",La Medina,116m²,6 Rooms,2 Bathrooms,7 Pieces,House,,Due for reform,,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"390,000 TND",Ain Zaghouan Sud inLa Marsa,72m²,1 Room,1 Bathroom,2 Pieces,Apartment,,New,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,no
"2,500,000 TND",La Marsa inLa Marsa,610m²,2 Rooms,2 Bathrooms,,House,,Due for reform,20-30 years old,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
Price on request,La Manouba inLa Manouba,170m²,3 Rooms,2 Bathrooms,2 Pieces,Apartment,6th,New,Less than 1 year,no,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no
Price on request,La Soukra inLa Soukra,178m²,4 Rooms,1 Bathroom,6 Pieces,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"455,000 TND",El Yasmina inCarthage,183m²,5 Rooms,1 Bathroom,9 Pieces,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Price on request,Bou Mhel inBoumhel Bassatine,150m²,7 Rooms,2 Bathrooms,2 Pieces,House,,Good condition,1-5 years old,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no
"125,000 TND",Kélibia,80m²,2 Rooms,1 Bathroom,3 Pieces,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Price on request,La Soukra inLa Soukra,120m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,,New,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no
Price on request,La Soukra inLa Soukra,70m²,1 Room,1 Bathroom,1 Piece,Apartment,,New,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no
"276,000 TND",La Soukra inLa Soukra,69m²,1 Room,1 Bathroom,2 Pieces,Apartment,,New,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no
"344,000 TND",La Soukra inLa Soukra,86m²,1 Room,1 Bathroom,2 Pieces,Apartment,,New,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no
Price on request,La Soukra inLa Soukra,120m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,,New,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no
Price on request,La Soukra inLa Soukra,86m²,1 Room,1 Bathroom,2 Pieces,Apartment,,New,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no
Price on request,La Soukra inLa Soukra,81m²,1 Room,1 Bathroom,2 Pieces,Apartment,,New,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no
"445,000 TND",La Soukra inLa Soukra,161m²,3 Rooms,2 Bathrooms,4 Pieces,Apartment,,New,Less than 1 year,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
"195,000 TND",Kélibia,95m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,,New,,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"550,000 TND",Kélibia,650m²,6 Rooms,3 Bathrooms,7 Pieces,Villa,,New,,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes
"420,000 TND",Kélibia,550m²,3 Rooms,2 Bathrooms,4 Pieces,Villa,,New,,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
"980,000 TND",Hammamet Nord inHammamet,350m²,4 Rooms,3 Bathrooms,5 Pieces,Villa,,New,Less than 1 year,no,yes,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
"790,000 TND",Hammamet inHammamet,415m²,4 Rooms,5 Bathrooms,5 Pieces,Villa,,Good condition,Less than 1 year,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"170,000 TND",Kélibia,168m²,2 Rooms,2 Bathrooms,3 Pieces,House,,Good condition,,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"170,000 TND",Sakiet Ezzit inSakiet Ezzit,86m²,2 Rooms,1 Bathroom,2 Pieces,Apartment,2nd,Good condition,5-10 years old,yes,no,no,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no
"70,000 EUR",Cité Olympique inCité El Khadra,116m²,3 Rooms,1 Bathroom,1 Piece,Apartment,3rd,Good condition,30-50 years old,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,yes,no,yes,no
"1,400,000 TND",La Soukra inLa Soukra,420m²,4 Rooms,3 Bathrooms,5 Pieces,Villa,,Good condition,,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"1,100,000 TND",La Soukra inLa Soukra,300m²,5 Rooms,3 Bathrooms,6 Pieces,Villa,,New,,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"630,000 TND",Cité El Wafa inNabeul,269m²,2 Rooms,1 Bathroom,4 Pieces,Villa,,New,,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Price on request,Cité El Wafa inNabeul,115m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,,New,Less than 1 year,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no
"540,000 TND",Kélibia,150m²,6 Rooms,2 Bathrooms,6 Pieces,House,,New,Less than 1 year,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
"480,000 TND",La Manouba inLa Manouba,260m²,3 Rooms,2 Bathrooms,4 Pieces,Villa,,Good condition,5-10 years old,yes,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
"180,000 TND",Montfleury inTunis,173m²,10 Rooms,2 Bathrooms,12 Pieces,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"165,000 TND",Hammamet Nord inHammamet,74m²,1 Room,1 Bathroom,2 Pieces,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"650,000 TND",Hammamet inHammamet,250m²,2 Rooms,3 Bathrooms,3 Pieces,Villa,,New,Less than 1 year,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Price on request,Hammamet inHammamet,116m²,2 Rooms,1 Bathroom,5 Pieces,Apartment,,New,Less than 1 year,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Price on request,Hammamet inHammamet,650m²,8 Rooms,3 Bathrooms,15 Pieces,Villa,,New,,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"750,000 TND",Yasmine Hammamet inHammamet,670m²,3 Rooms,2 Bathrooms,8 Pieces,Villa,,New,,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Price on request,Hammamet Sud inHammamet,5120m²,6 Rooms,3 Bathrooms,10 Pieces,Villa,,New,,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Price on request,Hammamet Sud inHammamet,650m²,3 Rooms,3 Bathrooms,8 Pieces,Villa,,New,Less than 1 year,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Price on request,Hammamet Sud inHammamet,250m²,3 Rooms,1 Bathroom,6 Pieces,Villa,,New,Less than 1 year,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"260,000 TND",Hammamet Sud inHammamet,400m²,1 Room,2 Bathrooms,5 Pieces,Villa,,New,5-10 years old,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Price on request,El Manar 2 inEl Menzah,530m²,4 Rooms,2 Bathrooms,4 Pieces,Villa,,New,,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Price on request,La Soukra inLa Soukra,161m²,3 Rooms,2 Bathrooms,4 Pieces,Apartment,,New,Less than 1 year,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
Price on request,La Soukra inLa Soukra,138m²,3 Rooms,2 Bathrooms,4 Pieces,Apartment,,New,Less than 1 year,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
Price on request,La Soukra inLa Soukra,138m²,3 Rooms,2 Bathrooms,4 Pieces,Apartment,,New,Less than 1 year,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
Price on request,La Soukra inLa Soukra,161m²,3 Rooms,1 Bathroom,4 Pieces,Apartment,,New,,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
"477,000 TND",La Soukra inLa Soukra,161m²,3 Rooms,2 Bathrooms,4 Pieces,Apartment,,New,Less than 1 year,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
"477,000 TND",La Soukra inLa Soukra,161m²,3 Rooms,2 Bathrooms,4 Pieces,Apartment,,New,Less than 1 year,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
Price on request,Les Jardins de Carthage inLe Kram,88m²,2 Rooms,2 Bathrooms,3 Pieces,Apartment,,New,,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no
Price on request,Les Jardins de Carthage inLe Kram,87m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,,New,,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no
Price on request,Kélibia,1215m²,4 Rooms,1 Bathroom,5 Pieces,Villa,,New,,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
"165,000 TND",Zone Industrielle El Meghira inFouchana,94m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,1st,New,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
"350,000 TND",Kélibia,271m²,3 Rooms,2 Bathrooms,3 Pieces,House,,Good condition,10-20 years old,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"165,000 TND",Cité Ezzitoun 1 inLa Soukra,118m²,2 Rooms,1 Bathroom,,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"350,000 TND",Hammamet inHammamet,218m²,2 Rooms,2 Bathrooms,3 Pieces,House,,New,,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
"145,000 TND",Bizerte Nord,74m²,3 Rooms,,,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"175,000 TND",Kélibia,140m²,3 Rooms,1 Bathroom,3 Pieces,Apartment,,New,Less than 1 year,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"260,000 TND",Hammam El Ghezaz,110m²,2 Rooms,1 Bathroom,2 Pieces,Apartment,,New,Less than 1 year,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
"780,000 TND",Hammamet Sud inHammamet,740m²,4 Rooms,4 Bathrooms,5 Pieces,Villa,,New,Less than 1 year,yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
"290,000 TND",Cité El Bassatine inMonastir Ville,140m²,3 Rooms,1 Bathroom,,Apartment,1st,New,1-5 years old,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
"290,000 TND",Monastir Ville inMonastir Ville,140m²,3 Rooms,1 Bathroom,,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Price on request,Hammamet Sud inHammamet,282m²,4 Rooms,2 Bathrooms,7 Pieces,Villa,,Good condition,,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"350,000 TND",Ain Zaghouan Nord inLa Marsa,60m²,1 Room,1 Bathroom,2 Pieces,Apartment,,New,,yes,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no
Price on request,Dar Fadhal inLa Soukra,115m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,2nd,Good condition,1-5 years old,yes,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
"368,000 TND",Ain Zaghouan Nord inLa Marsa,117m²,3 Rooms,2 Bathrooms,4 Pieces,Apartment,4th,New,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no
"410,000 TND",La Soukra inLa Soukra,127m²,3 Rooms,1 Bathroom,4 Pieces,Apartment,,Good condition,,yes,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
Price on request,Chotrana 1 inLa Soukra,704m²,5 Rooms,3 Bathrooms,7 Pieces,House,,Good condition,30-50 years old,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Price on request,Sahloul inSousse Ville,81m²,1 Room,1 Bathroom,2 Pieces,Apartment,,Good condition,1-5 years old,yes,no,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes,no
"1,350,000 TND",Hammamet Nord inHammamet,1070m²,,,,Villa,,,,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Price on request,Cité Ezzitoun 1 inLa Soukra,118m²,2 Rooms,1 Bathroom,,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"850,000 TND",El Menzah 9 inEl Menzah,300m²,4 Rooms,3 Bathrooms,5 Pieces,House,,Good condition,5-10 years old,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,no
"153,000 TND",Zone Industrielle El Meghira inFouchana,89m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,2nd,New,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
"205,000 TND",Riadh al Andalous inAriana Ville,91m²,1 Room,1 Bathroom,2 Pieces,Apartment,,Good condition,,yes,no,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no
"295,000 TND",Tantana inAkouda,100m²,2 Rooms,2 Bathrooms,6 Pieces,Apartment,,Good condition,,yes,no,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
"150,000 TND",Ezzahra El Habib inEzzahra,80m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,,Good condition,30-50 years old,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Price on request,Les Jardins de Carthage inLe Kram,115m²,2 Rooms,2 Bathrooms,3 Pieces,Apartment,,New,,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no
Price on request,Hergla,61m²,1 Room,1 Bathroom,2 Pieces,Apartment,,New,,yes,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes
Price on request,Hergla,110m²,2 Rooms,2 Bathrooms,3 Pieces,Apartment,,New,,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,yes
Price on request,Hergla,110m²,2 Rooms,2 Bathrooms,3 Pieces,Apartment,,New,,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,yes
Price on request,Hergla,110m²,2 Rooms,2 Bathrooms,3 Pieces,Apartment,3rd,New,,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,yes
Price on request,Hergla,268m²,3 Rooms,3 Bathrooms,4 Pieces,Apartment,1st,New,,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,yes
Price on request,Hergla,86m²,2 Rooms,2 Bathrooms,3 Pieces,Apartment,,New,,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,yes
Price on request,Raoued inRaoued,136m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,6th,New,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no
"270,000 TND
												

													Decreased by
													20,000 TND",Aouina inLa Marsa,90m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,1st,Good condition,5-10 years old,yes,no,no,no,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no
"1,190,000 TND
												

													Decreased by
													60,000 TND",El Menzah 9 inEl Menzah,680m²,4 Rooms,3 Bathrooms,5 Pieces,House,,Good condition,10-20 years old,yes,yes,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,yes
"315,000 TND",Aouina inLa Marsa,130m²,2 Rooms,3 Bathrooms,3 Pieces,Apartment,2nd,Good condition,5-10 years old,yes,no,no,no,yes,yes,no,no,yes,yes,no,yes,no,no,no,no,yes,no,yes,yes,no,yes,no
"780,000 TND",Hammamet Nord inHammamet,350m²,4 Rooms,2 Bathrooms,5 Pieces,Villa,,New,,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
"2,775,000 TND",Chotrana 1 inLa Soukra,3700m²,4 Rooms,3 Bathrooms,6 Pieces,Villa,,Good condition,,yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Price on request,Hammamet Nord inHammamet,1659m²,5 Rooms,4 Bathrooms,12 Pieces,Villa,,Good condition,,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
"630,000 TND",Chotrana 1 inLa Soukra,120m²,3 Rooms,3 Bathrooms,3 Pieces,Apartment,,New,,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no
Price on request,El Menzah 9 inEl Menzah,677m²,5 Rooms,4 Bathrooms,,Villa,,Good condition,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
"690,000 TND",Chotrana 1 inLa Soukra,850m²,4 Rooms,2 Bathrooms,5 Pieces,House,,Good condition,,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"580,000 TND",Ezzahra inEzzahra,273m²,7 Rooms,2 Bathrooms,12 Pieces,House,,Good condition,30-50 years old,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Price on request,Korba,178m²,2 Rooms,1 Bathroom,2 Pieces,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Price on request,Hammamet Nord inHammamet,72m²,1 Room,1 Bathroom,2 Pieces,Apartment,,New,,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"200,000 TND",Cité El Wafa inNabeul,70m²,1 Room,1 Bathroom,2 Pieces,Apartment,,Good condition,,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
"570,000 TND",Chotrana 1 inLa Soukra,175m²,3 Rooms,1 Bathroom,5 Pieces,Apartment,,New,,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no
Price on request,Hammamet Nord inHammamet,,6 Rooms,,9 Pieces,Villa,,Good condition,,yes,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"2,650,000 TND",La Marsa,428m²,,,,Apartment,,,,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
