Price,Location,Area,Rooms,Bathrooms,Pieces,Type of property,Floor,Condition,Age,Air conditioning,Garden,Furnished,Pool,Heating,Equipped kitchen,Double glazing,Security system,Terrace,Elevator,Satellite dish,Oven,Mountains views,Internet,Flooring,Garage,Concierge,Reinforced Door,Microwave,Fridge,TV,Washing machine,Sea views
"138,000 TND",Hammam El Ghezaz,56m²,1 Room,1 Bathroom,2 Pieces,Apartment,,New,,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"170,000 TND",Kélibia,134m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,,New,,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"700,000 TND",Kélibia,500m²,4 Rooms,2 Bathrooms,5 Pieces,Villa,,New,,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes
"260,000 TND",Hammam Sousse inHammam Sousse,75m²,,,,Apartment,,,,yes,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes
"470,000 TND",Khezama Ouest,250m²,,,,Apartment,,,,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Price on request,Hammamet inHammamet,177m²,3 Rooms,2 Bathrooms,5 Pieces,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Price on request,Nabeul inNabeul,500m²,4 Rooms,2 Bathrooms,10 Pieces,Villa,,Good condition,,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"260,000 TND",Les Berges Du Lac 1 inLa Marsa,60m²,1 Room,1 Bathroom,2 Pieces,Apartment,2nd,Good condition,20-30 years old,yes,no,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no
"300,000 TND",Hammam Sousse inHammam Sousse,150m²,3 Rooms,2 Bathrooms,4 Pieces,Apartment,2nd,Good condition,1-5 years old,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Price on request,La Marsa inLa Marsa,130m²,3 Rooms,2 Bathrooms,1 Piece,Apartment,2nd,Good condition,,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,no,yes,no
"250,000 TND",Cité El Wafa inNabeul,73m²,1 Room,1 Bathroom,2 Pieces,Apartment,4th,Good condition,1-5 years old,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no
"1,600,000 TND",Aouina inLa Marsa,624m²,4 Rooms,3 Bathrooms,5 Pieces,Villa,,Good condition,10-20 years old,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no
"450,000 TND",Aouina inLa Marsa,195m²,4 Rooms,2 Bathrooms,5 Pieces,Apartment,4th,Good condition,5-10 years old,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no
"315,000 TND",Aouina inLa Marsa,157m²,3 Rooms,2 Bathrooms,4 Pieces,Apartment,4th,Good condition,10-20 years old,yes,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no
"318,000 TND",Aouina inLa Marsa,127m²,3 Rooms,2 Bathrooms,4 Pieces,Apartment,3rd,Good condition,5-10 years old,yes,no,no,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no
"2,100,000 TND",Les Jardins de Carthage inLe Kram,367m²,3 Rooms,3 Bathrooms,4 Pieces,Apartment,,New,,yes,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no
"3,200,000 TND",Gammarth Supérieur inLa Marsa,703m²,6 Rooms,5 Bathrooms,7 Pieces,House,,Good condition,20-30 years old,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,no
"4,200,000 TND",Les Berges Du Lac 2 inLa Marsa,750m²,9 Rooms,7 Bathrooms,10 Pieces,Villa,,Good condition,1-5 years old,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no
Price on request,Hammamet Nord inHammamet,141m²,3 Rooms,3 Bathrooms,4 Pieces,Apartment,,New,,yes,no,no,no,yes,no,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no
"980,000 TND",Les Berges Du Lac 2 inLa Marsa,234m²,4 Rooms,3 Bathrooms,5 Pieces,Apartment,,Good condition,,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,no
"399,000 TND",Hammamet inHammamet,195m²,4 Rooms,2 Bathrooms,6 Pieces,House,,Good condition,,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Price on request,Bou Mhel inBoumhel Bassatine,75m²,1 Room,1 Bathroom,2 Pieces,Apartment,,New,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no
Price on request,Hammamet inHammamet,90m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,2nd,Good condition,Less than 1 year,yes,no,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
"552,750 TND",Les Jardins de Carthage inLe Kram,101m²,2 Rooms,,,Apartment,,,,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Price on request,Bou Mhel inBoumhel Bassatine,109m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,,New,Less than 1 year,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no
"1,200,000 TND",Chotrana 1 inLa Soukra,500m²,4 Rooms,3 Bathrooms,5 Pieces,Villa,,Good condition,,yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
"303,000 TND",El Mourouj 6 inEl Mourouj,122m²,2 Rooms,2 Bathrooms,3 Pieces,Apartment,,New,Less than 1 year,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no
Price on request,Ksar Hellal,296m²,3 Rooms,4 Bathrooms,4 Pieces,Apartment,,New,Less than 1 year,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
"320,000 TND",Hammamet Nord inHammamet,86m²,2 Rooms,1 Bathroom,3 Pieces,Apartment,1st,Good condition,5-10 years old,yes,no,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no
"750,000 TND",Gammarth inLa Marsa,200m²,3 Rooms,2 Bathrooms,6 Pieces,Apartment,1st,New,Less than 1 year,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
