Type,Location,Area,Rooms,Bathrooms,Condition,Air conditioning,Garden,Heating,Furnished,Equipped kitchen,Double glazing,Security system,Terrace,Elevator,Satellite dish,Oven,Mountains views,Internet,Garage,Pool,Concierge,Reinforced Door,Microwave,Fridge,TV,Washing machine,Sea views,Price
2008.2456494947612,3534.504536362738,180,3,3,2658.73464638254,2777.0018501211507,2098.1612069369307,2720.8243780548905,2660.34474267416,2716.340071139957,2414.362021612328,2803.0646437374676,2883.178712237408,2853.7441934255653,2633.738183316163,2434.4517136774257,2508.9326924835977,2520.5550124754936,3373.1833699618455,2161.4565357542288,2480.545304813723,2379.776926820641,2436.7271365398506,2548.2952520212684,2670.5680907829033,2558.4304600613154,3737.2288346828295,3500.0
2008.2456494947612,2194.96488025035,160,2,2,2505.191310813167,2777.0018501211507,3859.4870542600975,2720.8243780548905,2495.822022528179,2716.340071139957,2414.362021612328,2432.0538891264623,2883.178712237408,2853.7441934255653,2588.9139962528184,2434.4517136774257,2508.9326924835977,2520.5550124754936,1983.1339891865168,4561.570133359041,2480.545304813723,2379.776926820641,2436.7271365398506,2548.2952520212684,2670.5680907829033,2558.4304600613154,2463.2422235189933,2500.0
2008.2456494947612,1666.2481366128673,100,2,2,2505.191310813167,2777.0018501211507,2098.1612069369307,2720.8243780548905,2495.822022528179,2716.340071139957,2414.362021612328,2432.0538891264623,1953.086921560281,2853.7441934255653,2588.9139962528184,2434.4517136774257,2508.9326924835977,2520.5550124754936,1983.1339891865168,2161.4565357542288,2680.4188313032205,2379.776926820641,2436.7271365398506,2548.2952520212684,2670.5680907829033,2558.4304600613154,2463.2422235189933,1500.0
3609.9169205740027,3534.504536362738,800,5,3,2658.73464638254,2777.0018501211507,3859.4870542600975,2720.8243780548905,2660.34474267416,2716.340071139957,2414.362021612328,2432.0538891264623,2883.178712237408,2853.7441934255653,2633.738183316163,2434.4517136774257,2508.9326924835977,2520.5550124754936,3373.1833699618455,2161.4565357542288,2680.4188313032205,2379.776926820641,2436.7271365398506,2548.2952520212684,2670.5680907829033,2558.4304600613154,2463.2422235189933,5000.0
3609.9169205740027,1966.826160560307,800,9,4,2658.73464638254,2777.0018501211507,3859.4870542600975,2720.8243780548905,2660.34474267416,2716.340071139957,2414.362021612328,2432.0538891264623,2883.178712237408,2853.7441934255653,2588.9139962528184,2755.7093814410323,2508.9326924835977,2520.5550124754936,3373.1833699618455,2161.4565357542288,2680.4188313032205,2379.776926820641,2436.7271365398506,2548.2952520212684,2670.5680907829033,2558.4304600613154,2463.2422235189933,6000.0
2008.2456494947612,1633.055942550089,120,2,2,2505.191310813167,2777.0018501211507,2098.1612069369307,2720.8243780548905,2660.34474267416,2716.340071139957,2414.362021612328,2432.0538891264623,1953.086921560281,2177.13655553137,2588.9139962528184,2434.4517136774257,2508.9326924835977,2520.5550124754936,1983.1339891865168,2161.4565357542288,2680.4188313032205,2379.776926820641,2436.7271365398506,2548.2952520212684,2670.5680907829033,2558.4304600613154,2463.2422235189933,1400.0
2008.2456494947612,927.5772156151313,95,2,1,2658.73464638254,1722.3585260820992,2098.1612069369307,2720.8243780548905,2660.34474267416,2716.340071139957,2414.362021612328,2432.0538891264623,1953.086921560281,2853.7441934255653,2588.9139962528184,2755.7093814410323,2508.9326924835977,2520.5550124754936,1983.1339891865168,2161.4565357542288,2680.4188313032205,2379.776926820641,2436.7271365398506,2548.2952520212684,2670.5680907829033,2558.4304600613154,2463.2422235189933,750.0
2008.2456494947612,1232.5370048281357,120,2,1,2505.191310813167,2777.0018501211507,2098.1612069369307,2720.8243780548905,2660.34474267416,2716.340071139957,2414.362021612328,2803.0646437374676,2883.178712237408,2177.13655553137,2588.9139962528184,2755.7093814410323,2508.9326924835977,2520.5550124754936,1983.1339891865168,2161.4565357542288,2480.545304813723,2379.776926820641,2436.7271365398506,2548.2952520212684,2670.5680907829033,2558.4304600613154,2463.2422235189933,1100.0
3609.9169205740027,3304.745286726664,150,4,2,2658.73464638254,2777.0018501211507,3859.4870542600975,2720.8243780548905,2660.34474267416,2716.340071139957,2414.362021612328,2803.0646437374676,2883.178712237408,2853.7441934255653,2588.9139962528184,2755.7093814410323,2508.9326924835977,2520.5550124754936,3373.1833699618455,2161.4565357542288,2480.545304813723,2379.776926820641,2436.7271365398506,2548.2952520212684,2670.5680907829033,2558.4304600613154,2463.2422235189933,3500.0
3609.9169205740027,3989.4547021917515,250,3,2,2658.73464638254,2777.0018501211507,3859.4870542600975,2720.8243780548905,2495.822022528179,2716.340071139957,2874.2293525237537,2803.0646437374676,2883.178712237408,2853.7441934255653,2588.9139962528184,2755.7093814410323,2508.9326924835977,3015.978886788332,1983.1339891865168,2161.4565357542288,2680.4188313032205,2379.776926820641,3068.6620034431417,2548.2952520212684,2670.5680907829033,2558.4304600613154,2463.2422235189933,4000.0
