Type,Price,Location,Area,Pieces,Rooms,Bathrooms,Condition,Air conditioning,Garden,Heating,Furnished,Equipped kitchen,Double glazing,Security system,Terrace,Elevator,Satellite dish,Oven,Mountains views,Internet,Flooring,Garage,Pool,Concierge,Reinforced Door,Microwave,Fridge,TV,Washing machine,Sea views,Stage,Age,uknown
house,"1,050 TND",Cité El Khalil inLa Marsa,90m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,,,
apartment,850 TND,Ain Zaghouan Nord inLa Marsa,64m²,2 Pieces,1 Room,1 Bathroom,Good condition,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,,,
apartment,"1,050 TND",La Marsa inLa Marsa,90m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,no,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,
apartment,"1,500 TND",Les Jardins de Carthage inLe Kram,70m²,3 Pieces,1 Room,1 Bathroom,New,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,,,
apartment,"1,000 TND",El Menzah 9 inEl Menzah,90m²,2 Pieces,1 Room,1 Bathroom,New,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,1ststage,1-5 years old,
apartment,600 TND,Sahloul inSousse Jaouhara,70m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,
house,"3,000 TND",Sidi Daoued inLa Marsa,140m²,4 Pieces,3 Rooms,2 Bathrooms,Good condition,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,,,
apartment,750 TND,Aouina inLa Marsa,50m²,2 Pieces,1 Room,1 Bathroom,Good condition,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,,,
house,"7,500 TND",La Marsa inLa Marsa,600m²,5 Pieces,4 Rooms,3 Bathrooms,Good condition,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,,,
house,"7,500 TND",La Marsa inLa Marsa,300m²,4 Pieces,3 Rooms,3 Bathrooms,Good condition,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,yes,no,no,no,,Less than 1 year,
house,"4,500 TND",Carthage inCarthage,280m²,2 Pieces,4 Rooms,4 Bathrooms,New,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,,,
apartment,"2,200 TND",Les Jardins de Carthage inLe Kram,90m²,,1 Room,1 Bathroom,New,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,,,1 Piece
house,"6,500 TND",Carthage inCarthage,420m²,2 Pieces,5 Rooms,4 Bathrooms,Good condition,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,,,
apartment,"1,450 TND",Les Jardins de Carthage inLe Kram,80m²,,1 Room,1 Bathroom,Good condition,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,,,1 Piece
house,"4,500 TND",Les Jardins de Carthage inLe Kram,250m²,,4 Rooms,3 Bathrooms,Good condition,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,,,1 Piece
house,"14,500 TND",Gammarth inLa Marsa,600m²,7 Pieces,6 Rooms,6 Bathrooms,Good condition,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,,Less than 1 year,
apartment,"4,000 TND",Les Berges Du Lac 2 inLa Marsa,130m²,,3 Rooms,3 Bathrooms,Good condition,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,5thstage,5-10 years old,
apartment,"4,500 TND",Gammarth inLa Marsa,140m²,3 Pieces,2 Rooms,2 Bathrooms,New,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,,,
apartment,"6,500 TND",Gammarth inLa Marsa,300m²,,4 Rooms,,,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,,,
apartment,"1,500 TND",Les Berges Du Lac 2 inLa Marsa,70m²,2 Pieces,1 Room,1 Bathroom,Good condition,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,1ststage,5-10 years old,
house,"4,500 TND",Cité Les Pins inLa Marsa,450m²,5 Pieces,4 Rooms,2 Bathrooms,Good condition,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,,,
house,"3,400 TND",La Soukra inLa Soukra,1000m²,4 Pieces,4 Rooms,3 Bathrooms,Good condition,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,,,
apartment,"1,300 TND",Aouina inLa Marsa,110m²,3 Pieces,2 Rooms,1 Bathroom,New,yes,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,,Less than 1 year,
apartment,"1,500 TND",Aouina inLa Marsa,120m²,3 Pieces,2 Rooms,2 Bathrooms,New,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,,Less than 1 year,
apartment,"1,900 TND",Aouina inLa Marsa,80m²,2 Pieces,1 Room,1 Bathroom,Good condition,yes,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,
apartment,"1,300 TND",Bhar Lazreg inLa Marsa,100m²,3 Pieces,2 Rooms,1 Bathroom,New,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,1ststage,Less than 1 year,
house,"1,650 TND",Aouina inLa Marsa,165m²,4 Pieces,3 Rooms,2 Bathrooms,New,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,
house,"10,000 TND",Gammarth inLa Marsa,1100m²,,5 Rooms,,,yes,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,,,
apartment,"2,500 TND",Les Jardins de Carthage inLe Kram,140m²,4 Pieces,3 Rooms,2 Bathrooms,New,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,,,
house,"1,800 TND",Aouina inLa Marsa,165m²,4 Pieces,3 Rooms,2 Bathrooms,New,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,,,
apartment,"1,350 TND",Aouina inLa Marsa,120m²,4 Pieces,3 Rooms,1 Bathroom,New,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,
apartment,"1,100 TND",La Soukra inLa Soukra,80m²,2 Pieces,1 Room,1 Bathroom,New,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,,1-5 years old,
apartment,"2,200 TND",Les Jardins de Carthage inLe Kram,140m²,4 Pieces,3 Rooms,3 Bathrooms,New,yes,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,,,
house,"2,600 TND",Gammarth inLa Marsa,150m²,3 Pieces,2 Rooms,2 Bathrooms,Good condition,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,,,
apartment,"3,800 TND",Les Berges Du Lac 2 inLa Marsa,250m²,4 Pieces,3 Rooms,3 Bathrooms,New,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,3rdstage,Less than 1 year,
apartment,"1,300 TND",Bhar Lazreg inLa Marsa,100m²,3 Pieces,2 Rooms,2 Bathrooms,New,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,2ndstage,Less than 1 year,
house,"8,000 TND",Gammarth inLa Marsa,700m²,6 Pieces,5 Rooms,4 Bathrooms,Good condition,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,no,,,
apartment,"2,800 TND",Les Berges Du Lac 1 inLa Marsa,160m²,4 Pieces,3 Rooms,2 Bathrooms,New,yes,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,,,
apartment,"5,000 TND",Gammarth inLa Marsa,230m²,3 Pieces,2 Rooms,3 Bathrooms,New,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,,,
house,"2,600 TND",La Soukra inLa Soukra,167m²,4 Pieces,3 Rooms,2 Bathrooms,Good condition,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,,,
apartment,"1,200 TND",Aouina inLa Marsa,80m²,3 Pieces,2 Rooms,1 Bathroom,New,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,,,
apartment,"2,000 TND",Gammarth Village inLa Marsa,165m²,,3 Rooms,3 Bathrooms,New,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,,,1 Piece
house,"1,700 TND",Hergla,,,4 Rooms,2 Bathrooms,Good condition,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,,,1 Piece
apartment,"2,500 TND",Gammarth inLa Marsa,200m²,5 Pieces,3 Rooms,2 Bathrooms,Good condition,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,yes,no,1ststage,10-20 years old,
apartment,"2,000 TND",La Marsa inLa Marsa,70m²,2 Pieces,1 Room,1 Bathroom,New,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,,1-5 years old,
apartment,700 TND,La Marsa inLa Marsa,25m²,,1 Room,1 Bathroom,New,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,3rdstage,1-5 years old,1 Piece
house,,Carthage inCarthage,800m²,2 Pieces,4 Rooms,3 Bathrooms,Good condition,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,,,
apartment,"3,800 TND",Gammarth inLa Marsa,150m²,3 Pieces,2 Rooms,3 Bathrooms,New,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no,1ststage,Less than 1 year,
house,"2,500 TND",La Marsa inLa Marsa,250m²,5 Pieces,3 Rooms,2 Bathrooms,Good condition,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,,5-10 years old,
apartment,"5,000 TND",Carthage inCarthage,200m²,4 Pieces,3 Rooms,2 Bathrooms,New,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,
house,"8,500 TND",Les Berges Du Lac 2 inLa Marsa,600m²,5 Pieces,4 Rooms,4 Bathrooms,New,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,,,
apartment,"2,500 TND",Les Berges Du Lac 1 inLa Marsa,120m²,3 Pieces,2 Rooms,2 Bathrooms,New,yes,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,,,
apartment,"1,700 TND",Les Jardins de Carthage inLe Kram,140m²,4 Pieces,3 Rooms,2 Bathrooms,New,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,,,
apartment,"3,400 TND",Les Jardins de Carthage inLe Kram,120m²,3 Pieces,2 Rooms,2 Bathrooms,New,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,,,
apartment,"1,200 TND",Les Jardins de Carthage inLe Kram,90m²,2 Pieces,1 Room,1 Bathroom,Good condition,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,,,
house,"4,500 TND",Les Jardins de Carthage inLe Kram,320m²,4 Pieces,3 Rooms,4 Bathrooms,New,yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,,,
apartment,"1,350 TND",Ain Zaghouan Nord inLa Marsa,90m²,2 Pieces,1 Room,1 Bathroom,New,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,
apartment,"1,400 TND",Ain Zaghouan Nord inLa Marsa,120m²,4 Pieces,3 Rooms,1 Bathroom,New,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,
house,800 TND,Nabeul inNabeul,120m²,2 Pieces,2 Rooms,1 Bathroom,Good condition,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,,,
apartment,"1,100 TNDDecreased by100 TND",Cité El Wafa inNabeul,100m²,2 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,,,
apartment,"1,650 TND",Aouina inLa Marsa,110m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,yes,yes,yes,no,3rdstage,,
apartment,"1,650 TNDDecreased by150 TND",Les Jardins de Carthage inLe Kram,65m²,2 Pieces,1 Room,1 Bathroom,Good condition,yes,no,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,yes,no,yes,yes,yes,no,2ndstage,,
apartment,"2,000 TND",Ain Zaghouan Nord inLa Marsa,110m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,no,yes,no,yes,yes,no,yes,yes,yes,no,2ndstage,,
house,"3,500 TND",Hammamet Nord inHammamet,730m²,5 Pieces,4 Rooms,3 Bathrooms,New,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,yes,yes,yes,yes,no,,,
apartment,"1,900 TND",Les Berges Du Lac 2 inLa Marsa,85m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,,,
apartment,"1,500 TND",Hammamet inHammamet,100m²,3 Pieces,2 Rooms,1 Bathroom,New,yes,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,,,
apartment,"1,250 TND",Aouina inLa Marsa,120m²,4 Pieces,3 Rooms,1 Bathroom,Good condition,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,,,
apartment,"1,670 TND",La Soukra inLa Soukra,130m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,,,
apartment,"1,300 TND",Hammamet inHammamet,110m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,1ststage,1-5 years old,
apartment,850 TND,Hammamet Nord inHammamet,70m²,3 Pieces,2 Rooms,1 Bathroom,New,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1ststage,Less than 1 year,
apartment,"1,000 TND",Bhar Lazreg inLa Marsa,65m²,2 Pieces,1 Room,1 Bathroom,New,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,1ststage,Less than 1 year,
apartment,"2,200 TND",Les Jardins de Carthage inLe Kram,70m²,2 Pieces,1 Room,1 Bathroom,New,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,8thstage,,
house,"20,000 TND",Gammarth inLa Marsa,,6 Pieces,5 Rooms,2 Bathrooms,New,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,yes,yes,no,,1-5 years old,
apartment,"4,300 TND",Cité Les Pins inLa Marsa,250m²,4 Pieces,3 Rooms,3 Bathrooms,Good condition,no,no,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,1ststage,,
apartment,"5,000 TND",Les Berges Du Lac 1 inLa Marsa,180m²,4 Pieces,3 Rooms,2 Bathrooms,Good condition,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,1ststage,,
house,"4,500 TND",Le Kram,280m²,5 Pieces,4 Rooms,4 Bathrooms,,yes,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,,,
apartment,"3,500 TND",Les Berges Du Lac 2 inLa Marsa,153m²,,1 Room,2 Bathrooms,New,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,2ndstage,1-5 years old,1 Piece
apartment,"1,500 TND",Megrine Riadh inMégrine,200m²,4 Pieces,3 Rooms,1 Bathroom,New,no,no,yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,2ndstage,Less than 1 year,
apartment,"2,000 TND",Salambo inCarthage,100m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,,,
apartment,"1,400 TNDDecreased by200 TND",Les Berges Du Lac 1 inLa Marsa,80m²,2 Pieces,1 Room,1 Bathroom,Good condition,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,yes,yes,no,no,,,
house,,Gammarth Supérieur inLa Marsa,500m²,4 Pieces,3 Rooms,3 Bathrooms,Good condition,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no,yes,no,,,
house,"6,500 TND",Sidi Bousaid inCarthage,200m²,4 Pieces,3 Rooms,2 Bathrooms,New,yes,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,,,
apartment,"1,300 TND",Les Jardins d'El Menzah 2 inAriana Ville,90m²,4 Pieces,3 Rooms,2 Bathrooms,Good condition,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,2ndstage,,
apartment,"2,500 TND",Les Jardins de Carthage inLe Kram,75m²,,1 Room,1 Bathroom,New,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,,,1 Piece
apartment,"5,000 TND",Les Berges Du Lac 2 inLa Marsa,250m²,4 Pieces,3 Rooms,3 Bathrooms,New,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,,1-5 years old,
house,"10,000 TND",Les Berges Du Lac 2 inLa Marsa,500m²,7 Pieces,6 Rooms,5 Bathrooms,Good condition,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,,,
apartment,"1,800 TND",El Menzah 9 inEl Menzah,140m²,3 Pieces,2 Rooms,1 Bathroom,New,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,3rdstage,Less than 1 year,
house,"2,600 TND",Les Jardins de Carthage inLe Kram,130m²,3 Pieces,2 Rooms,2 Bathrooms,Good condition,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,yes,yes,yes,no,,,
apartment,"1,800 TND",La Marsa inLa Marsa,,4 Pieces,3 Rooms,2 Bathrooms,Good condition,yes,no,no,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,,Less than 1 year,
house,"12,000 TND",Les Berges Du Lac 2 inLa Marsa,800m²,8 Pieces,6 Rooms,6 Bathrooms,Good condition,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,,5-10 years old,
apartment,"1,400 TND",Aouina inLa Marsa,80m²,3 Pieces,2 Rooms,1 Bathroom,New,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,,Less than 1 year,
house,"8,500 TND",Les Berges Du Lac 2 inLa Marsa,400m²,6 Pieces,4 Rooms,3 Bathrooms,Good condition,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,,1-5 years old,
apartment,"1,600 TND",Les Jardins de Carthage inLe Kram,75m²,2 Pieces,1 Room,1 Bathroom,Good condition,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,no,no,no,yes,yes,no,yes,yes,yes,no,5thstage,5-10 years old,
apartment,"2,800 TND",Les Berges Du Lac 1 inLa Marsa,100m²,2 Pieces,2 Rooms,1 Bathroom,New,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,2ndstage,5-10 years old,
apartment,"3,500 TND",La Marsa inLa Marsa,,4 Pieces,3 Rooms,1 Bathroom,Good condition,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,,1-5 years old,
apartment,"1,250 TND",Les Jardins de Carthage inLe Kram,65m²,2 Pieces,1 Room,1 Bathroom,Good condition,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,yes,yes,no,2ndstage,1-5 years old,
apartment,"1,500 TND",Les Jardins de Carthage inLe Kram,60m²,,1 Room,1 Bathroom,Good condition,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,1ststage,Less than 1 year,1 Piece
apartment,"2,000 TND",Hammamet inHammamet,120m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,yes,yes,no,,,
house,"1,600 TND",La Marsa inLa Marsa,110m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,1ststage,,
apartment,"2,000 TND",La Soukra inLa Soukra,180m²,4 Pieces,3 Rooms,2 Bathrooms,Good condition,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,2ndstage,,
house,"4,500 TND",La Marsa inLa Marsa,300m²,5 Pieces,4 Rooms,3 Bathrooms,Good condition,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,,,
apartment,"2,100 TND",Sidi Bousaid inCarthage,200m²,3 Pieces,2 Rooms,2 Bathrooms,New,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,1ststage,,
apartment,"3,500 TND",La Marsa inLa Marsa,110m²,2 Pieces,2 Rooms,1 Bathroom,New,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,,,
apartment,"2,900 TND",Khezama Ouest,160m²,4 Pieces,3 Rooms,3 Bathrooms,New,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,yes,no,yes,yes,yes,yes,2ndstage,1-5 years old,
apartment,,Gammarth inLa Marsa,105m²,3 Pieces,2 Rooms,2 Bathrooms,Good condition,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,,,
apartment,"2,100 TND",Carthage Byrsa inCarthage,120m²,3 Pieces,2 Rooms,2 Bathrooms,Good condition,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,,,
house,"2,500 TND",La Soukra inLa Soukra,300m²,6 Pieces,5 Rooms,2 Bathrooms,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,,,
house,"8,000 TND",Mutuelle Ville inEl Menzah,400m²,5 Pieces,4 Rooms,5 Bathrooms,Good condition,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,,1-5 years old,
apartment,"2,200 TND",Borj Baccouche inAriana Ville,120m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,no,yes,no,no,yes,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,6thstage,10-20 years old,
apartment,"1,900 TND",Hammamet Nord inHammamet,120m²,3 Pieces,2 Rooms,1 Bathroom,New,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,no,no,no,no,no,yes,no,no,yes,yes,no,no,,,
apartment,"1,600 TND",Hergla,100m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,yes,yes,,,
apartment,"1,300 TND",Bouhssina inSousse Ville,100m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,2ndstage,,
apartment,"1,600 TNDDecreased by200 TND",Khezama inSousse Jaouhara,100m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,1ststage,,
house,"4,100 TND",La Marsa inLa Marsa,478m²,5 Pieces,4 Rooms,1 Bathroom,Good condition,yes,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,,,
house,"4,000 TND",La Marsa inLa Marsa,550m²,5 Pieces,4 Rooms,3 Bathrooms,Good condition,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,
apartment,"1,840 TND",El Menzah 9 inEl Menzah,170m²,4 Pieces,3 Rooms,3 Bathrooms,Good condition,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,,,
apartment,"1,200 TND",Les Berges Du Lac 2 inLa Marsa,115m²,3 Pieces,2 Rooms,1 Bathroom,New,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,2ndstage,10-20 years old,
house,950 TND,Les Jardins de Carthage inLe Kram,60m²,,1 Room,1 Bathroom,Good condition,,,,,,,,,,,,,,,,,,,,,,,,3rdstage,10-20 years old,
