Type,Price,Location,Area,Pieces,Rooms,Bathrooms,Condition,Air conditioning,Garden,Heating,Furnished,Equipped kitchen,Double glazing,Security system,Terrace,Elevator,Satellite dish,Oven,Mountains views,Internet,Flooring,Garage,Pool,Concierge,Reinforced Door,Microwave,Fridge,TV,Washing machine,Sea views,Stage,Age,uknown
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartment,"2,500 TND",La Marsa inLa Marsa,94m²,2 Pieces,1 Room,1 Bathroom,New,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,
apartment,"2,700 TND",Gammarth inLa Marsa,200m²,,2 Rooms,1 Bathroom,New,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,,,1 Piece
apartment,,Riadh al Andalous inAriana Ville,120m²,4 Pieces,2 Rooms,1 Bathroom,Good condition,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,
house,"2,850 TND",Hammamet inHammamet,442m²,5 Pieces,4 Rooms,3 Bathrooms,New,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,,,
house,,Cité Ennasr 2 inAriana Ville,180m²,6 Pieces,4 Rooms,3 Bathrooms,Good condition,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,
apartment,"2,500 TND",Gammarth inLa Marsa,,3 Pieces,2 Rooms,2 Bathrooms,Good condition,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no,1ststage,5-10 years old,
